movie_id,tmdbId
1,862
2,8844
3,15602
4,31357
5,11862
6,949
7,11860
8,45325
9,9091
10,710
11,9087
12,12110
13,21032
14,10858
15,1408
16,524
17,4584
18,5
19,9273
20,11517
21,8012
22,1710
23,9691
24,12665
25,451
26,16420
27,9263
28,17015
29,902
30,37557
31,9909
32,63
33,78802
34,9598
35,47018
36,687
37,139405
38,33689
39,9603
40,34615
41,31174
42,11443
43,35196
44,9312
45,577
46,11861
47,807
48,10530
49,8391
50,629
51,117164
52,11448
53,49133
54,26441
55,97406
56,124057
57,9089
58,11010
59,99040
60,11359
61,17182
62,2054
63,10607
64,19760
65,9536
66,11525
67,40628
68,4482
69,10634
70,755
71,11859
72,28387
73,48750
74,20927
75,36929
76,9102
77,124626
78,27526
79,9623
80,46785
81,400
82,880
83,146599
84,188588
85,8447
86,10534
87,17414
88,13997
89,2086
90,61548
92,9095
93,12158
94,9283
95,9208
96,40154
97,406
98,45549
99,63076
100,11062
101,13685
102,47475
103,2045
104,9614
105,688
106,11907
107,10874
108,89333
109,96357
110,197
111,103
112,33542
113,43566
114,71754
115,43612
116,51352
117,16934
118,10324
119,78406
120,55731
121,32119
122,11066
123,11104
124,37975
125,2074
126,27793
127,44284
128,290157
129,110972
130,32622
131,73067
132,11863
133,55475
134,124636
135,9101
136,123360
137,5757
138,39428
139,124639
140,9302
141,11000
142,-1
143,249882
144,16388
145,9737
146,30765
147,10474
148,22279
149,30157
150,568
151,11780
152,34996
153,414
154,649
155,1873
156,5894
157,1775
158,8839
159,20649
160,10329
161,8963
162,26564
163,8068
164,8512
165,1572
166,13552
167,259209
168,6520
169,9073
170,10428
171,17447
172,9886
173,9482
174,19326
175,9344
176,9071
177,8973
178,15730
179,47608
180,2293
181,9070
182,68274
183,48787
184,34574
185,1642
186,11472
187,36196
188,11980
189,58372
190,32646
191,10533
192,56088
193,10802
194,10149
195,18402
196,9348
197,139408
198,281
199,5967
200,79593
201,47939
202,36834
203,9090
204,3512
205,52856
206,77350
207,9560
208,9804
209,31611
210,65796
211,49805
212,26258
213,50797
214,19155
215,76
216,11017
217,37141
218,9382
219,6715
220,18256
222,22625
223,2292
224,1909
225,8984
226,61813
227,4954
228,62488
229,10531
230,11929
231,8467
232,10451
233,20156
234,18395
235,522
236,397
237,10525
238,27985
239,15789
240,27303
241,21183
242,10954
243,47867
244,43475
245,72031
246,14275
247,1024
248,17207
249,13701
250,14819
251,32631
252,11777
253,628
254,87729
255,18713
256,6280
257,9061
258,37108
259,6071
260,11
261,9587
262,19101
263,49980
264,17961
265,18183
266,4476
267,11008
268,47504
269,32325
270,43742
271,28313
272,11318
273,3036
274,40490
275,24070
276,8986
277,10510
278,17402
279,38722
280,8438
281,11593
282,1945
283,39310
284,109560
285,56428
286,63105
287,131957
288,241
289,9058
290,527
291,18220
292,6950
293,101
294,63020
295,2307
296,680
297,41478
298,25296
299,40156
300,11450
301,30304
302,10452
303,12106
304,161495
305,3586
306,110
307,108
308,109
309,159185
310,36357
311,92769
312,28033
313,22586
314,14334
315,2636
316,2164
317,11395
318,278
319,9905
320,87078
321,12527
322,20306
324,36614
325,27993
326,31439
327,9067
328,9059
329,193
330,25066
331,46797
332,12122
333,11381
334,32636
335,36141
336,95963
337,1587
338,9271
339,2064
340,19855
341,60855
342,236
343,48287
344,3049
345,2759
346,12635
347,10497
348,11382
349,9331
350,10731
351,10464
352,34152
353,9495
354,29973
355,888
356,13
357,712
358,16295
359,48992
360,10879
361,10660
362,10714
363,41647
364,8587
